Point No.,Material,County,Phys. Province,Count
705,quartz,Accomack,"Coastal Plain, So.",1
465,chert,Albemarle,"Piedmont, No.",1
77,"chert, dark-gray",Albemarle,"Piedmont, No.",1
601,quartz,Albemarle,"Piedmont, No.",1
906,quartz,Albemarle,"Piedmont, No.",1
81,quartzite,Albemarle,"Piedmont, No.",1
140,chert,Alleghany,"Ridge & Valley, So.",1
427,chalcedony,Amelia,"Piedmont, So.",1
736,chalcedony,Amelia,"Piedmont, So.",1
45,"chert, dark-gray",Amelia,"Piedmont, So.",1
51,"chert, dark-gray",Amelia,"Piedmont, So.",1
90,"chert, dark-gray",Amelia,"Piedmont, So.",1
125,"chert, dark-gray",Amelia,"Piedmont, So.",1
30,"chert, dark-gray",Amelia,"Piedmont, So.",1
58,"chert, dark-gray",Amelia,"Piedmont, So.",1
54,chert,Amelia,"Piedmont, So.",1
679,chert,Amelia,"Piedmont, So.",1
682,chert,Amelia,"Piedmont, So.",1
56,crystal quartz,Amelia,"Piedmont, So.",1
681,jasper,Amelia,"Piedmont, So.",1
676,"chert, green",Amherst,"Piedmont, So.",1
139,chert,Amherst,"Piedmont, So.",1
366,chert,Amherst,"Piedmont, So.",1
567,crystal quartz,Appomattox,"Piedmont, So.",1
400,"chert, dark-gray",Augusta,"Ridge & Valley, No.",1
1010,chert,Augusta,"Ridge & Valley, No.",1
260,"chert, dark-gray",Bath,"Ridge & Valley, No.",1
831,chalcedony,Bedford,"Piedmont, So.",1
942,chalcedony,Bedford,"Piedmont, So.",1
138,"chert, dark-gray",Bedford,"Piedmont, So.",1
357,"chert, dark-gray",Bedford,"Piedmont, So.",1
132,"chert, dark-gray",Bedford,"Piedmont, So.",1
145,"chert, dark-gray",Bedford,"Piedmont, So.",1
117,chert,Bedford,"Piedmont, So.",1
137,chert,Bedford,"Piedmont, So.",1
454,chert,Bedford,"Piedmont, So.",1
772,chert,Bedford,"Piedmont, So.",1
110,jasper,Bedford,"Piedmont, So.",1
116,jasper,Bedford,"Piedmont, So.",1
936,jasper,Bedford,"Piedmont, So.",1
938,jasper,Bedford,"Piedmont, So.",1
107,metavolcanic,Bedford,"Piedmont, So.",1
824,metavolcanic,Bedford,"Piedmont, So.",1
788,quartz,Bedford,"Piedmont, So.",1
793,quartz,Bedford,"Piedmont, So.",1
794,quartz,Bedford,"Piedmont, So.",1
937,quartz,Bedford,"Piedmont, So.",1
88,chert,Bedford,"Piedmont, So.",1
83,"chert, dark-gray",Bedford,"Piedmont, So.",1
85,"chert, dark-gray",Bedford,"Piedmont, So.",1
84,chert,Bedford,"Piedmont, So.",1
86,chert,Bedford,"Piedmont, So.",1
87,chert,Bedford,"Piedmont, So.",1
670,"chert, dark-gray",Botetourt,"Ridge & Valley, So.",1
330,chalcedony,Brunswick,"Piedmont, So.",1
538,chalcedony,Brunswick,"Piedmont, So.",1
410,chert,Brunswick,"Piedmont, So.",1
112,"chert, dark-gray",Brunswick,"Piedmont, So.",1
416,"chert, dark-gray",Brunswick,"Piedmont, So.",1
287,"chert, green",Brunswick,"Piedmont, So.",1
805,"chert, green",Brunswick,"Piedmont, So.",1
372,chert,Brunswick,"Piedmont, So.",1
439,metavolcanic,Brunswick,"Piedmont, So.",1
565,metavolcanic,Brunswick,"Piedmont, So.",1
575,metavolcanic,Brunswick,"Piedmont, So.",1
612,metavolcanic,Brunswick,"Piedmont, So.",1
667,metavolcanic,Brunswick,"Piedmont, So.",1
1003,metavolcanic,Brunswick,"Piedmont, So.",1
223,quartz,Brunswick,"Piedmont, So.",1
305,quartz,Brunswick,"Piedmont, So.",1
182,chert,Buchanan,"Ridge & Valley, So.",1
50,"chert, dark-gray",Buckingham,"Piedmont, So.",1
592,metavolcanic,Buckingham,"Piedmont, So.",1
721,quartz,Buckingham,"Piedmont, So.",1
97,chert,Campbell,"Piedmont, So.",1
133,"chert, dark-gray",Campbell,"Piedmont, So.",1
144,"chert, dark-gray",Campbell,"Piedmont, So.",1
134,"chert, dark-gray",Campbell,"Piedmont, So.",1
382,chert,Campbell,"Piedmont, So.",1
580,metavolcanic,Campbell,"Piedmont, So.",1
846,orthoquartzite,Campbell ,"Piedmont, So.",1
512,chert,Campbell,"Piedmont, So.",1
115,chalcedony,Caroline,Coastal Plain,1
78,"chert, dark-gray",Caroline,Coastal Plain,1
124,crystal quartz,Caroline,Coastal Plain,1
874,"chert, dark-gray",Caroline,"Coastal Plain, So.",1
901,chert,Caroline,"Coastal Plain, So.",1
796,metavolcanic,Caroline,"Coastal Plain, So.",1
809,"chert, dark-gray",Carroll,Blue Ridge,1
478,jasper,Charles City,Coastal Plain,1
292,chert,Charles City,"Coastal Plain, So.",1
514,chalcedony,Charlotte,"Piedmont, So.",1
289,"chert, dark-gray",Charlotte,"Piedmont, So.",1
511,"chert, dark-gray",Charlotte,"Piedmont, So.",1
613,"chert, dark-gray",Charlotte,"Piedmont, So.",1
143,chert,Charlotte,"Piedmont, So.",1
384,chert,Charlotte,"Piedmont, So.",1
510,chert,Charlotte,"Piedmont, So.",1
2,crystal quartz,Charlotte,"Piedmont, So.",1
982,crystal quartz,Charlotte,"Piedmont, So.",1
49,metavolcanic,Charlotte,"Piedmont, So.",1
979,metavolcanic,Charlotte,"Piedmont, So.",1
980,metavolcanic,Charlotte,"Piedmont, So.",1
981,metavolcanic,Charlotte,"Piedmont, So.",1
839,quartz,Charlotte,"Piedmont, So.",1
835,quartzite,Charlotte,"Piedmont, So.",1
315,crystal quartz,Charlottesville,"Piedmont, No.",1
611,chalcedony,Chesapeake,"Coastal Plain, So.",1
563,jasper,Chesapeake,"Coastal Plain, So.",1
732,jasper,Chesapeake,"Coastal Plain, So.",1
557,metavolcanic,Chesapeake,"Coastal Plain, So.",1
596,quartzite,Chesapeake,"Coastal Plain, So.",1
821,chalcedony,Chesterfield,"Piedmont, So.",1
346,"chert, dark-gray",Chesterfield,"Piedmont, So.",1
178,"chert, dark-gray",Chesterfield,"Piedmont, So.",1
180,"chert, dark-gray",Chesterfield,"Piedmont, So.",1
344,"chert, dark-gray",Chesterfield,"Piedmont, So.",1
377,chert,Chesterfield,"Piedmont, So.",1
904,chert,Chesterfield,"Piedmont, So.",1
922,chert,Chesterfield,"Piedmont, So.",1
342,crystal quartz,Chesterfield,"Piedmont, So.",1
345,crystal quartz,Chesterfield,"Piedmont, So.",1
341,jasper,Chesterfield,"Piedmont, So.",1
636,jasper,Chesterfield,"Piedmont, So.",1
899,jasper,Chesterfield,"Piedmont, So.",1
431,metavolcanic,Chesterfield,"Piedmont, So.",1
444,metavolcanic,Chesterfield,"Piedmont, So.",1
751,metavolcanic,Chesterfield,"Piedmont, So.",1
898,metavolcanic,Chesterfield,"Piedmont, So.",1
919,metavolcanic,Chesterfield,"Piedmont, So.",1
343,petrified wood,Chesterfield,"Piedmont, So.",1
430,petrified wood,Chesterfield,"Piedmont, So.",1
432,petrified wood,Chesterfield,"Piedmont, So.",1
509,quartzite,Chesterfield,"Piedmont, So.",1
903,jasper,Clarke,"Ridge & Valley, No.",1
333,chert,Clarksville,"Piedmont, So.",1
875,chert,Culpepper,"Piedmont, No.",1
798,metavolcanic,Culpepper,"Piedmont, No.",1
468,quartz,Culpepper,"Piedmont, No.",1
48,chalcedony,Cumberland,"Piedmont, So.",1
