Point No.,Material,County,Phys. Province,Count
107,metavolcanic,Bedford,"Piedmont, So.",1
824,metavolcanic,Bedford,"Piedmont, So.",1
439,metavolcanic,Brunswick,"Piedmont, So.",1
565,metavolcanic,Brunswick,"Piedmont, So.",1
575,metavolcanic,Brunswick,"Piedmont, So.",1
612,metavolcanic,Brunswick,"Piedmont, So.",1
667,metavolcanic,Brunswick,"Piedmont, So.",1
1003,metavolcanic,Brunswick,"Piedmont, So.",1
592,metavolcanic,Buckingham,"Piedmont, So.",1
580,metavolcanic,Campbell,"Piedmont, So.",1
796,metavolcanic,Caroline,"Coastal Plain, So.",1
49,metavolcanic,Charlotte,"Piedmont, So.",1
979,metavolcanic,Charlotte,"Piedmont, So.",1
980,metavolcanic,Charlotte,"Piedmont, So.",1
981,metavolcanic,Charlotte,"Piedmont, So.",1
557,metavolcanic,Chesapeake,"Coastal Plain, So.",1
431,metavolcanic,Chesterfield,"Piedmont, So.",1
444,metavolcanic,Chesterfield,"Piedmont, So.",1
751,metavolcanic,Chesterfield,"Piedmont, So.",1
898,metavolcanic,Chesterfield,"Piedmont, So.",1
919,metavolcanic,Chesterfield,"Piedmont, So.",1
798,metavolcanic,Culpepper,"Piedmont, No.",1
190,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
286,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
325,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
534,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
496,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
283,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
433,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
455,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
491,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
493,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
527,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
702,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
830,metavolcanic,Dinwiddie,"Coastal Plain, So.",1
848,metavolcanic,Dinwiddie ,"Coastal Plain, So.",1
471,metavolcanic,Fairfax,"Piedmont, No.",1
688,metavolcanic,Fairfax,"Piedmont, No.",1
853,metavolcanic,Fairfax ,"Piedmont, No.",1
970,metavolcanic,Floyd,Blue Ridge,1
616,metavolcanic,Franklin,"Piedmont, So.",1
689,metavolcanic,Gloucester,Coastal Plain,1
503,metavolcanic,Greenville,"Coastal Plain, So.",1
522,metavolcanic,Greenville,"Coastal Plain, So.",1
614,metavolcanic,Greenville,"Coastal Plain, So.",1
666,metavolcanic,Greenville,"Coastal Plain, So.",1
687,metavolcanic,Greenville,"Coastal Plain, So.",1
799,metavolcanic,Greenville,"Coastal Plain, So.",1
818,metavolcanic,Greenville,"Coastal Plain, So.",1
385,metavolcanic,Halifax,"Piedmont, So.",1
480,metavolcanic,Halifax,"Piedmont, So.",1
543.1,metavolcanic,Halifax,"Piedmont, So.",1
569,metavolcanic,Halifax,"Piedmont, So.",1
569.1,metavolcanic,Halifax,"Piedmont, So.",1
570,metavolcanic,Halifax,"Piedmont, So.",1
570.1,metavolcanic,Halifax,"Piedmont, So.",1
572,metavolcanic,Halifax,"Piedmont, So.",1
572.1,metavolcanic,Halifax,"Piedmont, So.",1
696,metavolcanic,Halifax,"Piedmont, So.",1
698,metavolcanic,Halifax,"Piedmont, So.",1
703,metavolcanic,Halifax,"Piedmont, So.",1
926,metavolcanic,Halifax,"Piedmont, So.",1
1012,metavolcanic,Halifax,"Piedmont, So.",1
507,metavolcanic,Hanover,Coastal Plain,1
886,metavolcanic,Henry,"Piedmont, So.",1
653,metavolcanic,Isle of Wight,"Coastal Plain, So.",1
310,metavolcanic,James City,"Coastal Plain, So.",1
974,metavolcanic,King William,Coastal Plain,1
549,metavolcanic,Lunenburg,"Piedmont, So.",1
680,metavolcanic,Mathews,Coastal Plain,1
695,metavolcanic,Mecklenberg,"Piedmont, So.",1
928,metavolcanic,Mecklenberg,"Piedmont, So.",1
12,metavolcanic,Mecklenburg,"Piedmont, So.",1
16,metavolcanic,Mecklenburg,"Piedmont, So.",1
31,metavolcanic,Mecklenburg,"Piedmont, So.",1
34,metavolcanic,Mecklenburg,"Piedmont, So.",1
40,metavolcanic,Mecklenburg,"Piedmont, So.",1
296,metavolcanic,Mecklenburg,"Piedmont, So.",1
22,metavolcanic,Mecklenburg,"Piedmont, So.",1
261,metavolcanic,Mecklenburg,"Piedmont, So.",1
475,metavolcanic,Mecklenburg,"Piedmont, So.",1
620,metavolcanic,Mecklenburg,"Piedmont, So.",1
742,metavolcanic,Mecklenburg,"Piedmont, So.",1
789,metavolcanic,Mecklenburg,"Piedmont, So.",1
923,metavolcanic,Montgomery,"Ridge & Valley, So.",1
75,metavolcanic,Suffolk,"Coastal Plain, So.",1
298,metavolcanic,Suffolk,"Coastal Plain, So.",1
362,metavolcanic,Suffolk,"Coastal Plain, So.",1
561,metavolcanic,Suffolk,"Coastal Plain, So.",1
820,metavolcanic,Suffolk,"Coastal Plain, So.",1
442,metavolcanic,Page,"Ridge & Valley, No.",1
422,metavolcanic,Patrick,"Piedmont, So.",1
704,metavolcanic,Patrick,"Piedmont, So.",1
881,metavolcanic,Pittsylvania,"Piedmont, So.",1
323,metavolcanic,Virginia Beach,"Coastal Plain, So.",1
1001,metavolcanic,Rockbridge,"Ridge & Valley, So.",1
1006,metavolcanic,Smyth,"Ridge & Valley, So.",1
621,metavolcanic,Southampton,"Coastal Plain, So.",1
556,metavolcanic,Suffolk,"Coastal Plain, So.",1
559,metavolcanic,Suffolk,"Coastal Plain, So.",1
834,metavolcanic,Suffolk,"Coastal Plain, So.",1
842,metavolcanic,Suffolk,"Coastal Plain, So.",1
843,metavolcanic,Suffolk,"Coastal Plain, So.",1
958,metavolcanic,Suffolk,"Coastal Plain, So.",1
869,metavolcanic,Surry,"Coastal Plain, So.",1
631,metavolcanic,Sussex,"Coastal Plain, So.",1
640,metavolcanic,Sussex,"Coastal Plain, So.",1
838,metavolcanic,Sussex,"Coastal Plain, So.",1
878,metavolcanic,Sussex,"Coastal Plain, So.",1
910,metavolcanic,Sussex,"Coastal Plain, So.",1
921,metavolcanic,Sussex,"Coastal Plain, So.",1
939,metavolcanic,Washington,"Ridge & Valley, So.",1
765,metavolcanic,Williamsburg,Coastal Plain,1
892,metavolcanic,Wythe,"Ridge & Valley, So.",1
676,"chert, green",Amherst,"Piedmont, So.",1
287,"chert, green",Brunswick,"Piedmont, So.",1
805,"chert, green",Brunswick,"Piedmont, So.",1
486,"chert, green",Dinwiddie,"Coastal Plain, So.",1
228,"chert, green",Lunenburg,"Piedmont, So.",1
14,"chert, green",Mecklenburg,"Piedmont, So.",1
26,"chert, green",Mecklenburg,"Piedmont, So.",1
95,"chert, green",Mecklenburg,"Piedmont, So.",1
227,"chert, green",Mecklenburg,"Piedmont, So.",1
230,"chert, green",Mecklenburg,"Piedmont, So.",1
262,"chert, green",Mecklenburg,"Piedmont, So.",1
483,"chert, green",Mecklenburg,"Piedmont, So.",1
664,"chert, green",Roanoke,"Ridge & Valley, So.",1
